id,fullName,name,type
n10083,@java+field#com.fsck.k9.view.ViewSwitcher.mFirstInAnimation,mFirstInAnimation,Variable
n10084,@java+field#com.fsck.k9.mailstore.LocalStore.MSG_INDEX_INTERNAL_DATE,MSG_INDEX_INTERNAL_DATE,Variable
n10085,@java+method#com.fsck.k9.provider.MessageProvider.MonitoredCursor.getType(int),getType,Operation
n10086,@java+field#com.fsck.k9.activity.Accounts.mActionBarSubTitle,mActionBarSubTitle,Variable
n10087,@java+method#com.fsck.k9.message.signature.HtmlSignatureRemoverTest.shouldStripSignatureAfterLastBlockquoteTags(),shouldStripSignatureAfterLastBlockquoteTags,Operation
n10088,@java+field#com.fsck.k9.ui.messageview.MessageContainerView.attachments,attachments,Variable
n10089,@java+field#com.fsck.k9.ui.crypto.MessageCryptoHelperTest.messageCryptoHelper,messageCryptoHelper,Variable
n1009,@java+method#com.fsck.k9.activity.misc.ContactPictureLoaderTest.calcUnknownContactLetter_ignoresUsePunctuation(),calcUnknownContactLetter_ignoresUsePunctuation,Operation
n10090,@java+field#com.fsck.k9.activity.setup.Prefs.PREFERENCE_DEBUG_LOGGING,PREFERENCE_DEBUG_LOGGING,Variable
n10091,@java+method#com.fsck.k9.EmailAddressValidator.fixText(java.lang.CharSequence),fixText,Operation
n10092,"@java+constructor#com.fsck.k9.mail.store.pop3.Pop3Store.Pop3Store(com.fsck.k9.mail.store.StoreConfig,com.fsck.k9.mail.ssl.TrustedSocketFactory)",Pop3Store,Constructor
n10093,@java+method#org.openintents.openpgp.AutocryptPeerUpdate.hasKeyData(),hasKeyData,Operation
n10094,@java+method#com.fsck.k9.activity.MessageList.onForward(com.fsck.k9.activity.MessageReference),onForward,Operation
n10095,@java+method#com.fsck.k9.message.MessageBuilder.setAttachments(java.util.List),setAttachments,Operation
n10096,@java+field#com.fsck.k9.activity.setup.Prefs.PREFERENCE_BACKGROUND_AS_UNREAD_INDICATOR,PREFERENCE_BACKGROUND_AS_UNREAD_INDICATOR,Variable
n10097,@java+method#com.fsck.k9.notification.CertificateErrorNotificationsTest.createFakeNotificationManager(),createFakeNotificationManager,Operation
n10098,@java+class#com.fsck.k9.activity.setup.AccountSettings.PopulateFolderPrefsTask,PopulateFolderPrefsTask,Structure
n10099,"@java+method#com.fsck.k9.fragment.MessageListFragment.ActionModeCallback.onCreateActionMode(com.fsck.k9.fragment.ActionMode,com.fsck.k9.fragment.Menu)",onCreateActionMode,Operation
n101,@java+field#com.fsck.k9.view.FoldableLinearLayout.mFoldableIcon,mFoldableIcon,Variable
n1010,@java+method#com.fsck.k9.mail.store.imap.ImapFolderTest.createPart(java.lang.String),createPart,Operation
n10100,"@java+constructor#com.fsck.k9.activity.compose.RecipientLoader.RecipientLoader(com.fsck.k9.controller.Context,java.lang.String,com.fsck.k9.mail.Address[])",RecipientLoader,Constructor
n10101,@java+method#com.fsck.k9.controller.MessagingControllerTest.searchRemoteMessagesSynchronous_shouldFetchNewMessages(),searchRemoteMessagesSynchronous_shouldFetchNewMessages,Operation
n10102,@java+field#com.fsck.k9.provider.EmailProvider.StatsColumns.UNREAD_COUNT,UNREAD_COUNT,Variable
n10103,@java+method#com.fsck.k9.mail.store.StoreConfig.isRemoteSearchFullText(),isRemoteSearchFullText,Operation
n10104,@java+field#com.fsck.k9.mailstore.TempFileBody.mFile,mFile,Variable
n10105,@java+method#com.fsck.k9.mail.store.imap.ImapConnection.handleSslException(javax.net.ssl.SSLException),handleSslException,Operation
n10106,"@java+method#com.fsck.k9.preferences.GlobalSettings.validate(int,java.util.Map)",validate,Operation
n10107,@java+method#com.fsck.k9.mail.store.imap.ImapResponseParserTest.testReadStatusResponseUntaggedHandlerStillCalledOnNegativeReply(),testReadStatusResponseUntaggedHandlerStillCalledOnNegativeReply,Operation
n10108,@java+field#com.fsck.k9.activity.MessageLoaderHelper.messageCryptoHelper,messageCryptoHelper,Variable
n10109,@java+class#com.fsck.k9.mail.filter.Base64OutputStream,Base64OutputStream,Structure
n1011,"@java+constructor#java.lang.String.String(byte[],java.lang.String)",,Constructor
n10110,"@java+method#com.fsck.k9.provider.MessageProvider.MonitoredCursor.setNotificationUri(com.fsck.k9.ui.ContentResolver,com.fsck.k9.provider.Uri)",setNotificationUri,Operation
n10111,@java+method#com.fsck.k9.activity.setup.Prefs.onPause(),onPause,Operation
n10112,@java+field#com.fsck.k9.provider.DecryptedFileProvider.AUTHORITY,AUTHORITY,Variable
n10113,@java+interface#com.fsck.k9.mail.Pusher,Pusher,Structure
n10114,@java+constructor#com.larswerkman.colorpicker.ColorPicker.ColorPicker(com.fsck.k9.controller.Context),ColorPicker,Constructor
n10115,@java+class#com.fsck.k9.mail.store.imap.ImapPushStateTest,ImapPushStateTest,Structure
